test_type,component_name,file_size,file_name,false_rate,total_nb_of_tested,ers_score,control_attempts
k2,memory_safety,100_200,11_100_200,0.03,31.0,0.96,1.0
k2,memory_safety,100_200,12_100_200,0.05,22.67,0.94,1.0
k2,memory_safety,100_200,13_100_200,0.08,1.33,0.9,1.0
k2,memory_safety,100_200,14_100_200,0.12,31.33,0.88,1.0
k2,memory_safety,100_200,15_100_200,0.06,19.0,0.93,1.0
k2,memory_safety,200_300,16_200_300,0.0,16.67,0.97,1.0
k2,memory_safety,200_300,17_200_300,0.0,18.0,0.97,1.0
k2,memory_safety,200_300,18_200_300,0.0,10.67,0.96,1.0
k2,memory_safety,200_300,19_200_300,0.0,15.67,0.97,1.0
k2,memory_safety,200_300,20_200_300,0.03,15.67,0.95,1.0
k2,memory_safety,300_400,21_300_400,0.11,39.33,0.89,1.0
k2,memory_safety,300_400,22_300_400,0.09,42.0,0.92,1.0
k2,memory_safety,300_400,23_300_400,0.1,55.0,0.9,1.0
k2,memory_safety,300_400,24_300_400,0.06,61.67,0.95,1.0
k2,memory_safety,300_400,25_300_400,0.07,64.67,0.93,1.0
k2,memory_safety,50_100,10_50_100,0.07,12.0,0.92,1.0
k2,memory_safety,50_100,6_50_100,0.23,23.0,0.81,1.0
k2,memory_safety,50_100,7_50_100,0.19,8.0,0.85,1.0
k2,memory_safety,50_100,8_50_100,0.07,9.33,0.91,1.0
k2,memory_safety,50_100,9_50_100,0.19,19.67,0.84,1.0
k2,rename,0_50,1_0_50,0.0,3.0,0.94,1.0
k2,rename,0_50,2_0_50,0.0,1.0,0.92,1.0
k2,rename,0_50,3_0_50,0.0,6.0,0.95,1.0
k2,rename,0_50,4_0_50,0.0,1.0,0.92,1.0
k2,rename,0_50,5_0_50,0.0,5.67,0.95,1.0
k2,rename,100_200,11_100_200,0.04,15.67,0.94,1.0
k2,rename,100_200,12_100_200,0.11,17.0,0.9,1.0
k2,rename,100_200,13_100_200,0.0,4.0,0.94,1.0
k2,rename,100_200,14_100_200,0.15,13.67,0.88,1.0
k2,rename,100_200,15_100_200,0.0,11.0,0.96,1.0
k2,rename,200_300,16_200_300,0.0,9.0,0.96,1.0
k2,rename,200_300,17_200_300,0.0,8.0,0.95,1.0
k2,rename,200_300,18_200_300,0.0,8.0,0.95,1.0
k2,rename,200_300,19_200_300,0.0,5.0,0.94,1.0
k2,rename,200_300,20_200_300,0.0,8.0,0.95,1.0
k2,rename,300_400,21_300_400,0.1,21.0,0.91,1.0
k2,rename,300_400,22_300_400,0.14,12.5,0.88,1.0
k2,rename,300_400,23_300_400,0.0,7.0,0.95,1.0
k2,rename,300_400,24_300_400,0.0,3.0,0.94,1.0
k2,rename,300_400,25_300_400,0.0,3.0,0.94,1.0
k2,rename,50_100,10_50_100,0.0,4.0,0.94,1.0
k2,rename,50_100,6_50_100,0.0,7.0,0.95,1.0
k2,rename,50_100,7_50_100,0.0,5.0,0.94,1.0
k2,rename,50_100,8_50_100,0.12,8.67,0.9,1.0
k2,rename,50_100,9_50_100,0.0,4.0,0.94,1.0
k2_controller,crypto,0_50,1_0_50,0.0,2.0,0.93,1.0
k2_controller,crypto,0_50,2_0_50,0.0,2.0,0.93,2.0
k2_controller,crypto,0_50,3_0_50,0.0,2.67,0.93,1.33
k2_controller,crypto,0_50,4_0_50,0.0,0.0,0.91,1.0
k2_controller,crypto,0_50,5_0_50,0.0,10.0,0.96,1.0
k2_controller,crypto,100_200,11_100_200,0.02,18.67,0.96,2.33
k2_controller,crypto,100_200,12_100_200,0.0,18.33,0.97,2.0
k2_controller,crypto,100_200,13_100_200,0.46,9.33,0.73,3.0
k2_controller,crypto,100_200,14_100_200,0.08,16.0,0.92,3.0
k2_controller,crypto,100_200,15_100_200,0.1,12.33,0.9,3.0
k2_controller,crypto,200_300,16_200_300,0.0,14.33,0.97,2.33
k2_controller,crypto,200_300,17_200_300,0.0,12.33,0.96,1.0
k2_controller,crypto,200_300,18_200_300,0.0,11.33,0.96,1.0
k2_controller,crypto,200_300,19_200_300,0.0,3.33,0.94,2.33
k2_controller,crypto,200_300,20_200_300,0.0,7.67,0.95,1.67
k2_controller,crypto,300_400,21_300_400,0.0,32.33,0.98,2.0
k2_controller,crypto,300_400,22_300_400,0.0,0.0,0.91,1.0
k2_controller,crypto,300_400,23_300_400,0.12,28.67,0.91,3.0
k2_controller,crypto,300_400,24_300_400,0.01,35.0,0.97,2.67
k2_controller,crypto,300_400,25_300_400,0.03,36.33,0.96,3.0
k2_controller,crypto,50_100,10_50_100,0.27,6.33,0.84,3.0
k2_controller,crypto,50_100,6_50_100,0.22,16.67,0.83,3.0
k2_controller,crypto,50_100,7_50_100,0.41,10.33,0.74,3.0
k2_controller,crypto,50_100,8_50_100,0.0,2.67,0.93,1.0
k2_controller,crypto,50_100,9_50_100,0.37,10.0,0.81,3.0
k2_controller,deobfuscation,0_50,1_0_50,0.0,3.0,0.94,1.0
k2_controller,deobfuscation,0_50,2_0_50,0.0,1.0,0.92,1.0
k2_controller,deobfuscation,0_50,3_0_50,0.03,11.33,0.95,2.67
k2_controller,deobfuscation,0_50,4_0_50,0.07,3.33,0.91,3.0
k2_controller,deobfuscation,0_50,5_0_50,0.0,6.0,0.95,1.0
k2_controller,deobfuscation,100_200,11_100_200,,,,
k2_controller,deobfuscation,100_200,12_100_200,,,,
k2_controller,deobfuscation,100_200,13_100_200,0.33,7.0,0.81,3.0
k2_controller,deobfuscation,100_200,14_100_200,,,,
k2_controller,deobfuscation,100_200,15_100_200,,,,
k2_controller,deobfuscation,200_300,16_200_300,0.0,14.0,0.96,1.0
k2_controller,deobfuscation,200_300,17_200_300,,,,
k2_controller,deobfuscation,200_300,18_200_300,0.0,17.0,0.97,1.0
k2_controller,deobfuscation,200_300,19_200_300,0.02,20.5,0.96,2.5
k2_controller,deobfuscation,200_300,20_200_300,0.0,19.33,0.97,1.0
k2_controller,deobfuscation,300_400,21_300_400,,,,
k2_controller,deobfuscation,300_400,22_300_400,,,,
k2_controller,deobfuscation,300_400,23_300_400,,,,
k2_controller,deobfuscation,300_400,24_300_400,,,,
k2_controller,deobfuscation,300_400,25_300_400,,,,
